TITLE	AUTHOR	SERIES	GENRE	PUBLISHER
Hochzeit im Palast des Prinzen	Lynne Graham	Julia Extra	liebes	Cora
Liebeszauber der Südsee	Robyn Donald	Julia Extra	liebes	Cora
Erpressung aus Leidenschaft	Sabrina Philips	Julia Extra	liebes	Cora
Maskenball auf der Insel der Liebe	Valerie Parv	Julia Extra	liebes	Cora
Traumfrau mit Hindernissen	Trish Wylie	Julia Extra	liebes	Cora
Ausgerechnet mit dem Boss?	Carol Marinelli	Julia Extra	liebes	Cora
Liebeszauber auf Santorin	Trish Morey	Julia Extra	liebes	Cora
Sag einfach nur: Ich liebe dich!	Sharon Kendrick	Julia Extra	liebes	Cora
Verführt von einem Playboy	Lindsay Armstrong	Julia Extra	liebes	Cora
Ein Schlossherr zum Verlieben	Christina Hollis	Julia Extra	liebes	Cora
Im Licht der Wintersonne	Natasha Oakley	Julia Extra	liebes	Cora
Liebessommer mit einem Fürsten	Sharon Kendrick	Julia Extra	liebes	Cora
Ein geheimnisvoller Geliebter	Cara Colter	Julia Extra	liebes	Cora
Brich mir nicht das Herz, Boss!	Maisey Yates	Julia Extra	liebes	Cora
Im Penthouse des griechischen Tycoons	Carole Mortimer	Julia Extra	liebes	Cora
Küsse, süß wie Schokolade	Shirley Jump	Julia Extra	liebes	Cora
Im goldenen Käfig des Italieners	Sharon Kendrick	Julia Extra	liebes	Cora
Im Sturm der Leidenschaft	Lynne Graham	Julia Extra	liebes	Cora
Sag doch bitte endlich Ja	Melanie Milburne	Julia Extra	liebes	Cora
Wüstenprinz und Herzensbrecher	Sharon Kendrick	Julia Extra	liebes	Cora
Ein Scheich für die Diamantenprinzessin	Susan Stephens	Julia Extra	liebes	Cora
Im Bett des spanischen Millionärs	Trish Morey	Julia Extra	liebes	Cora
Sizilianische Leidenschaft	Carol Marinelli	Julia Extra	liebes	Cora
Schöner als jeder Diamant	Carole Mortimer	Julia Extra	liebes	Cora
Wenn die Wüstensonne am Horizont versinkt	Sarah Morgan	Julia Extra	liebes	Cora
Aufregendes Rendezvous in Paris	Carole Mortimer	Julia Extra	liebes	Cora
Im Bann des sizilianischen Millionärs	Michelle Smart	Julia Extra	liebes	Cora
Keiner küsst besser als du!	Louisa George	Julia Extra	liebes	Cora
Zu viele Nächte ohne dich	Jessica Hart	Julia Extra	liebes	Cora
Rückkehr nach Cornwall	Jessica Gilmore	Julia Extra	liebes	Cora
Was kostet dein Herz?	Nicola Marsh	Julia Extra	liebes	Cora
Deine Lippen sind einfach unvergesslich!	Maggie Cox	Julia Extra	liebes	Cora
Die Braut des italienischen Milliardärs	Lynne Graham	Julia Extra	liebes	Cora
Heiß wie die Sonne Afrikas	Nina Harrington	Julia Extra	liebes	Cora
Mit zwei Männern vorm Altar	Margaret Way	Julia Extra	liebes	Cora
Unter tausend Wüstensternen	Lynn Raye Harris	Julia Extra	liebes	Cora
Eine filmreife Affäre	Leah Ashton	Julia Extra	liebes	Cora
Spiel nicht mit der Liebe!	Charlotte Phillips	Julia Extra	liebes	Cora
Zurück in die Arme des griechischen Millionärs?	Lynne Graham	Julia Extra	liebes	Cora
Die Jacht der geheimen Wünsche	Rebecca Winters	Julia Extra	liebes	Cora
Fahr mit mir ins Glück!	Miranda Lee	Julia Extra	liebes	Cora
Venedig, die Liebe und der Boss	Fiona Harper	Julia Extra	liebes	Cora
Zu einem Scheich sagt man nicht Nein	Lynne Graham	Julia Extra	liebes	Cora
Ein Sommer voller Sinnlichkeit	Teresa Southwick	Julia Extra	liebes	Cora
Sehnsucht unterm Wüstenhimmel	Michelle Conder	Julia Extra	liebes	Cora
Tropenwind auf zarter Haut	Elizabeth Power	Julia Extra	liebes	Cora
Unsere Kreuzfahrt ins Glück	Connie Cox	Julia Extra	liebes	Cora
Auf dem Landsitz des stolzen Italieners	Cathy Williams	Julia Extra	liebes	Cora
Cinderella und der Playboy	Jessica Gilmore	Julia Extra	liebes	Cora
Heirate mich, mein Engel!	Carole Mortimer	Julia Extra	liebes	Cora
Heiße Küsse für den Prinzen	Raye Morgan	Julia Extra	liebes	Cora
Küss mich in der Toskana!	Caroline Anderson	Julia Extra	liebes	Cora
Ein Boss zum Verlieben	Caitlin Crews	Julia Extra	liebes	Cora
Folge mir auf mein Schloss!	Sara Craven	Julia Extra	liebes	Cora
Geheime Leidenschaft am Mittelmeer	Rebecca Winters	Julia Extra	liebes	Cora
Heiße Winternächte in Paris	Melanie Milburne	Julia Extra	liebes	Cora
Ein Prinz zum Fest der Liebe	Jennifer Faye	Julia Extra	liebes	Cora
Wiedersehen unterm Mistelzweig	Cara Colter	Julia Extra	liebes	Cora
Zimtküsse und ein Heiratsantrag	Kate Hardy	Julia Extra	liebes	Cora
Blitzhochzeit in Griechenland	Kate Hewitt	Julia Extra	liebes	Cora
Sizilianisches Spiel mit dem Feuer	Rebecca Winters	Julia Extra	liebes	Cora
Verbotene Überstunden mit dem Boss	Cathy Williams	Julia Extra	liebes	Cora
Was ein Milliardär nicht kaufen kann	Carole Mortimer	Julia Extra	liebes	Cora
Flitterwochen mit Verspätung	Kate Hewitt	Julia Extra	liebes	Cora
Mit dir ins Paradies und zurück	Kandy Shepherd	Julia Extra	liebes	Cora
Wie zähmt man seinen Boss?	Carole Mortimer	Julia Extra	liebes	Cora
Im Bann der süßen Sinnlichkeit	Fiona Brand	Julia Extra	liebes	Cora
So betört von deiner Liebe	Jennifer Taylor	Julia Extra	liebes	Cora
Verbotene Träume des Glücks	Caitlin Crews	Julia Extra	liebes	Cora
Die verbotene Sehnsucht der Wüstenprinzessin	Annie West	Julia Extra	liebes	Cora
Heiße Küsse im tiefen Schnee	Cathy Williams	Julia Extra	liebes	Cora
Liebesnacht mit einem Playboymillionär	Sharon Kendrick	Julia Extra	liebes	Cora
Unterwegs mit dir ins große Glück	Nikki Logan	Julia Extra	liebes	Cora
Der süße Duft der Sehnsucht	Rebecca Winters	Julia Extra	liebes	Cora
Insel unserer Leidenschaft	Lynne Graham	Julia Extra	liebes	Cora
Neues Glück in den Armen des stolzen Spaniers?	Michelle Smart	Julia Extra	liebes	Cora
Wie widersteht man diesem Boss?	Jennifer Hayward	Julia Extra	liebes	Cora
Die weiße Jacht des Milliardärs	Jennifer Hayward	Julia Extra	liebes	Cora
Meine Königin der Nacht	Lynne Graham	Julia Extra	liebes	Cora
Tausend Küsse in der Toskana	Sophie Pembroke	Julia Extra	liebes	Cora
Vorhang auf für die große Liebe!	Kate Hardy	Julia Extra	liebes	Cora
Auf der Jacht des griechischen Tycoons	Lynne Graham	Julia Extra	liebes	Cora
Heirate lieber mich!	Sharon Kendrick	Julia Extra	liebes	Cora
Mein italienischer Traummann	Jennifer Faye	Julia Extra	liebes	Cora
Tausend Sterne über der Wüste	Kate Hewitt	Julia Extra	liebes	Cora
Die Geliebte des griechischen Milliardärs	Lynne Graham	Julia Extra	liebes	Cora
Ein Bräutigam zum Küssen	Carol Marinelli	Julia Extra	liebes	Cora
Nur ein Traum vom großen Glück?	Jackie Braun	Julia Extra	liebes	Cora
Wie zähmt man einen Playboy-Scheich?	Chantelle Shaw	Julia Extra	liebes	Cora
Gefangene deines Herzens	Michelle Conder	Julia Extra	liebes	Cora
Im Bann des reichen Playboys	Sophie Pembroke	Julia Extra	liebes	Cora
Karibische Nächte der Sehnsucht	Kat Cantrell	Julia Extra	liebes	Cora
Brennende Sehnsucht nach deinen Küssen	Michelle Douglas	Julia Extra	liebes	Cora
Die Geliebte des Diamanten-Millionärs	Chantelle Shaw	Julia Extra	liebes	Cora
Für uns soll’s rote Rosen regnen	Cathy Williams	Julia Extra	liebes	Cora
Heiße Leidenschaft – kaltes Herz?	Dani Collins	Julia Extra	liebes	Cora
Unternehmen „Stardust“	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die dritte Macht	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die strahlende Kuppel	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Götterdämmerung	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Atom-Alarm	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Das Mutanten-Korps	Shols Winfried	Perry Rhodan	scifi	Pabel-Moewig
Invasion aus dem All	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Venusbasis	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Hilfe für die Erde	Shols Winfried	Perry Rhodan	scifi	Pabel-Moewig
Raumschlacht im Wega-Sektor	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Mutanten im Einsatz	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Das Geheimnis der Zeitgruft	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Festung der sechs Monde	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Das galaktische Rätsel	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Spur durch Zeit und Raum	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Die Geister von Gol	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Planet der sterbenden Sonne	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Die Rebellen von Tuglan	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der Unsterbliche	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Venus in Gefahr	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Atomkrieg findet nicht statt	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Thoras Flucht	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Geheimschaltung X	Shols Winfried	Perry Rhodan	scifi	Pabel-Moewig
Im Dschungel der Urwelt	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Overhead	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Duell der Mutanten	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Im Banne des Hypno	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
Der kosmische Lockvogel	Scheer Karl-Herbert	Perry Rhodan	scifi	Pabel-Moewig
Die Flotte der Springer	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Tifflor der Partisan	Mahr Kurt	Perry Rhodan	scifi	Pabel-Moewig
Der Kaiser von New York	Shols Winfried	Perry Rhodan	scifi	Pabel-Moewig
Ausflug in die Unendlichkeit	Darlton Clark	Perry Rhodan	scifi	Pabel-Moewig
